,probab,iandj,TF,G,typ,sub,true_y
0,0.5435067713260651, iandj ,G8,G221, test_pos , MI,0
1,0.5384320020675659, iandj ,G138,G271, test_pos , MI,1
2,0.5575051903724669, iandj ,G7,G255, test_pos , MI,0
3,0.5575051903724669, iandj ,G7,G56, test_pos , MI,0
4,0.543420821428299, iandj ,G223,G1049, test_pos , MI,1
5,0.53484046459198, iandj ,G8,G106, test_pos , MI,0
6,0.7427881956100464, iandj ,G333,G1658, test_pos , MI,1
7,0.5331248939037323, iandj ,G4,G43, test_pos , MI,0
8,0.5576238036155701, iandj ,G11,G57, test_pos , MI,0
9,0.6149074733257294, iandj ,G209,G1090, test_pos , MI,1
10,0.6736229062080383, iandj ,G31,G1566, test_pos , MI,1
11,0.5400565266609192, iandj ,G55,G128, test_pos , MI,1
12,0.5383515357971191, iandj ,G236,G1868, test_pos , MI,1
13,0.7485789656639099, iandj ,G55,G2242, test_pos , MI,1
14,0.5450620949268341, iandj ,G197,G1985, test_pos , MI,1
15,0.7648974359035492, iandj ,G333,G2303, test_pos , MI,1
16,0.6503967940807343, iandj ,G3,G189, test_pos , MI,0
17,0.749691516160965, iandj ,G120,G418, test_pos , MI,1
18,0.6503967642784119, iandj ,G3,G210, test_pos , MI,0
19,0.5338263809680939, iandj ,G8,G101, test_pos , MI,0
20,0.5664776563644409, iandj ,G282,G1035, test_pos , MI,1
21,0.7707012891769409, iandj ,G176,G1778, test_pos , MI,1
22,0.5561144351959229, iandj ,G4,G259, test_pos , MI,0
23,0.7470975518226622, iandj ,G172,G844, test_pos , MI,1
24,0.7707317769527435, iandj ,G4,G164, test_pos , MI,0
25,0.7394734025001526, iandj ,G268,G769, test_pos , MI,1
26,0.6503967940807343, iandj ,G3,G11, test_pos , MI,0
27,0.5431814789772034, iandj ,G274,G1708, test_pos , MI,1
28,0.5314128994941711, iandj ,G8,G113, test_pos , MI,0
29,0.7492997348308563, iandj ,G268,G847, test_pos , MI,1
30,0.7253429591655731, iandj ,G255,G592, test_pos , MI,1
31,0.5543516874313354, iandj ,G187,G1195, test_pos , MI,1
32,0.6048392951488495, iandj ,G7,G168, test_pos , MI,0
33,0.6503967940807343, iandj ,G3,G259, test_pos , MI,0
34,0.5288230776786804, iandj ,G8,G205, test_pos , MI,0
35,0.7603922188282013, iandj ,G118,G1963, test_pos , MI,1
36,0.7357038259506226, iandj ,G103,G433, test_pos , MI,1
37,0.5401958227157593, iandj ,G138,G964, test_pos , MI,1
38,0.6503967940807343, iandj ,G3,G285, test_pos , MI,0
39,0.5377620756626129, iandj ,G4,G127, test_pos , MI,0
40,0.5362867414951324, iandj ,G2,G118, test_pos , MI,0
41,0.5489054918289185, iandj ,G8,G121, test_pos , MI,0
42,0.7799972295761108, iandj ,G86,G1216, test_pos , MI,1
43,0.5384320020675659, iandj ,G8,G138, test_pos , MI,0
44,0.5927497148513794, iandj ,G10,G313, test_pos , MI,0
45,0.733292192220688, iandj ,G55,G1871, test_pos , MI,1
46,0.5360564291477203, iandj ,G6,G72, test_pos , MI,0
47,0.6852544546127319, iandj ,G73,G1170, test_pos , MI,1
48,0.5416980087757111, iandj ,G4,G128, test_pos , MI,0
49,0.5575051903724669, iandj ,G7,G118, test_pos , MI,0
50,0.6056962609291077, iandj ,G219,G1415, test_pos , MI,1
51,0.6503967940807343, iandj ,G3,G263, test_pos , MI,0
52,0.7686719298362732, iandj ,G110,G1457, test_pos , MI,1
53,0.7431427240371704, iandj ,G125,G665, test_pos , MI,1
54,0.5986474752426147, iandj ,G4,G13, test_pos , MI,0
55,0.5652391314506531, iandj ,G309,G1079, test_pos , MI,1
56,0.7526275813579559, iandj ,G281,G876, test_pos , MI,1
57,0.6251656115055084, iandj ,G8,G279, test_pos , MI,0
58,0.6034171879291534, iandj ,G140,G2341, test_pos , MI,1
59,0.5786564648151398, iandj ,G10,G73, test_pos , MI,0
60,0.5450620949268341, iandj ,G2,G197, test_pos , MI,0
61,0.5453400909900665, iandj ,G23,G268, test_pos , MI,0
62,0.5575051903724669, iandj ,G7,G113, test_pos , MI,0
63,0.7319456338882446, iandj ,G202,G809, test_pos , MI,1
64,0.5849696099758148, iandj ,G174,G1395, test_pos , MI,1
65,0.5575051903724669, iandj ,G7,G69, test_pos , MI,0
66,0.5400565266609192, iandj ,G55,G2132, test_pos , MI,1
67,0.5383976697921753, iandj ,G309,G1654, test_pos , MI,1
